query_name,returned_name,use?,taxon_id,rank
Trichodere cockerelli,Trichodere cockerelli,yes,266385,species
Lichenostomus keartlandi,Lichenostomus keartlandi,yes,998104,species
Zosterops atriceps,Zosterops,no,36298,genus
Scissirostrum dubium,Scissirostrum dubium,yes,241745,species
Zosterops fuscicapilla,Zosterops fuscicapilla,yes,589880,species
Smicrornis brevirostris,Smicrornis brevirostris,yes,117206,species
Epthianura aurifrons,Epthianura aurifrons,yes,266352,species
Acrocephalus vaughani,Acrocephalus vaughani,yes,126876,species
Stipiturus ruficeps,Stipiturus ruficeps,yes,466208,species
Melidectes belfordi,Melidectes belfordi,yes,43161,species
Amytornis dorotheae,Amytornis dorotheae,yes,912965,species
Glycifohia undulata,no_record,no,no_record,no_record
Gerygone igata,Gerygone igata,yes,874461,species
Myiagra azureocapilla,Myiagra,no,107223,genus
Diphyllodes respublica,Diphyllodes respublica,yes,36259,species
Meliphaga albilineata,Meliphaga albilineata,yes,390652,species
Microeca flavigaster,Microeca flavigaster,yes,665145,species
Lonchura tristissima,Lonchura,no,40156,genus
Pachycephala flavifrons,Pachycephala,yes,461221,species
Clytorhynchus vitiensis,Clytorhynchus,no,338448,genus
Myiagra rubecula,Myiagra rubecula,yes,381033,species
Himatione sanguinea,Himatione sanguinea,yes,64801,species
Malurus coronatus,Malurus coronatus,yes,481900,species
Loboparadisea sericea,Loboparadisea sericea,yes,108828,species
Struthidea cinerea,Struthidea cinerea,yes,181839,species
Cormobates leucophaea,Cormobates,no,181834,genus
Myzomela wakoloensis,Myzomela,no,108837,genus
Artamus personatus,Artamus personatus,yes,335546,species
Falcunculus frontatus,Falcunculus frontatus,yes,254539,species
Calamanthus pyrrhopygius,Calamanthus pyrrhopygius,yes,720583,species
Gerygone modesta,Gerygone modesta,yes,1158115,species
Ptiloprora perstriata,Ptiloprora,no,9147,genus
Myzomela erythrocephala,Myzomela erythrocephala,yes,266322,species
Oreostruthus fuliginosus,no_record,no,no_record,no_record
Erythrura trichroa,Erythrura trichroa,yes,247731,species
Peltops blainvillii,Peltops blainvillii,yes,626435,species
Lichenostomus reticulatus,Lichenostomus,no,43158,genus
Basilornis corythaix,Basilornis,no,451429,genus
Myiagra caledonica,Myiagra caledonica,yes,107224,species
Rhipidura rennelliana,Rhipidura rennelliana,yes,381041,species
Melidectes ochromelas,Melidectes ochromelas,yes,266317,species
Monarcha takatsukasae,Monarcha takatsukasae,yes,338465,species
Meliphaga lewinii,Meliphaga lewinii,yes,390651,species
Melamprosops phaeosoma,Melamprosops phaeosoma,yes,385245,species
Zosterops hypolais,Zosterops hypolais,yes,135982,species
Rhipidura matthiae,Rhipidura,no,107227,genus
Zosterops buruensis,Zosterops,no,36298,genus
Amblyornis macgregoriae,Amblyornis macgregoriae,yes,9166,species
Amblyornis flavifrons,Amblyornis,no,9165,genus
Myzomela albigula,Myzomela,no,108837,genus
Xanthotis macleayanus,Xanthotis,no,266388,genus
Coracina bicolor,Coracina bicolor,yes,424852,species
Zosterops minor,Zosterops,no,36298,genus
Lonchura nevermanni,Lonchura,no,40156,genus
Myzomela chermesina,Myzomela,no,108837,genus
Sphecotheres hypoleucus,Sphecotheres,no,254660,genus
Monarcha mundus,Monarcha mundus,yes,338469,species
Lalage aurea,Lalage,no,254545,genus
Acanthornis magna,Acanthornis magna,yes,720576,species
Sericulus ardens,Sericulus ardens,yes,507604,species
Rhipidura superflua,Rhipidura,no,107227,genus
Crateroscelis murina,Crateroscelis,no,692108,genus
Madanga ruficollis,no_record,no,no_record,no_record
Ficedula timorensis,Ficedula timorensis,yes,393724,species
